ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;¿En qué momento de la charla está llenando la encuesta;¿Cuál es el rango de tu edad?;¿De dónde es tu procedencia natal?;¿Cuál es tu genero?;¿Actualmente cuentas con un trabajo?;¿Qué carrera está cursando?;¿En qué año de la carrera estás?;¿Te consideras autodidacta?;Científicos;Tecnológicos;Matemáticos;Literarios;¿Consideras que el tiempo que dispones para estudiar es muy poco?;¿Tiene buen acceso a internet?;¿Cuál es la gama de tu computadora?;¿Qué nivel de habilidades de programación consideras tener para desarrollar aplicaciones simples?;¿Con cúales de los siguientes lenguajes de programación has desarrollado un proyecto?;Fisica Cuántica;Arquitectura de computadoras;Programación;Diseño de Compiladores;Matemáticas;¿Qué tan informado te sientes sobre los últimos avances científicos y tecnológicos?;¿Crees que la información científica está disponible y accesible para la población en general?;¿Has participado alguna vez en eventos de divulgación científica, como charlas, conferencias o ferias?;¿En qué ámbitos se alinean las charlas y conferencias a las cuales has asistido?;¿Cómo clasificarías el nivel de divulgación científica en la sociedad actual?;¿Crees que la falta de interés del público es la principal causa de la poca divulgación científica?;¿Crees que la falta de presupuesto es la principal causa de la poca divulgación científica?;¿Crees que las universidades deberían incluir más contenido científico en su currículo?;¿Crees que las universidades deberían incluir más contenido profesionalizante en su currículo?;"Según lo que consideres, ¿Cuál es el grado de responsabilidad en la divulgación científica de los siguientes involucrados? 

(Ordena de forma descendente, siendo el de mayor importancia quien se e...";¿Has escuchado sobre la computación cuántica?;"Del 1 al 5.
¿Cuánto interés crees que hay en las tecnologías cuánticas?";"Del 1 al 5.
¿Qué tanto conocimiento consideras tener sobre la computación cuántica?";¿Considera que hay información necesaria para aprender sobre estas tecnologías?;¿Cree que se debería invertir mas en la investigación y el desarrollo de la computación cuántica?;¿Cree que la computación cuántica tiene el potencial de cambiar el mundo de manera significativa?;¿Cree que la computación cuántica tendrá un impacto significativo en la industria y la tecnología en el futuro?;¿Cree que los docentes de la universidad incentivan la investigación científica y la innovación tecnológica?;¿Cree que en la UNAH no se incentiva la investigación científica y la innovación tecnológica?;¿Qué clases consideras que tienen una conexión con la computación cuantica?;¿Qué tan interesado estaría en participar en una investigación relacionada con un tema disruptivo en su campo de estudio?;¿Consideraría importante tener la oportunidad de participar en investigaciones sobre temas disruptivos en su carrera académica?;Big Data;IA;Ciberseguridad;Blockchain;Realidad virtual y aumentada;Nanotecnología;¿A qué cursos recomendarías esta charla sobre computación cuántica?;¿Te gustaría seguir aprendiendo sobre computación cuántica?;¿Te inscribirías en un curso sobre cuántica más especializado?;¿La charla sobre computación cuántica fue informativa y comprensible para ti?;¿Qué parte de la charla te pareció más interesante o útil?;¿Crees que la charla te dio una idea clara de las aplicaciones prácticas de la computación cuántica?;¿Cómo clasificarías la calidad general de la charla?
1;4/1/23 9:30:27;4/1/23 9:33:38;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;Si;Ingeniería en Sistemas;5to año o más;Si;5;5;3;4;No;Si;Media;Nivel Medio;"Python;JavaScript;PHP;";Alto;Medio;Alto;Medio;Medio;5;Si;Si;"Tecnológicas;Fisicas;Literarias;";Alta;;;Si;Si;"Jefe de Departamento;Científicos;Docentes;Estudiantes;Público en general;";Si;4;4;Si;Si;Si;Si;No;No se incentiva;;;;;;;;;;;;;;;;
2;4/1/23 9:30:16;4/1/23 9:33:43;anonymous;;Antes de la Charla;28-32;Zona Urbana;Femenino;Si;Ingeniería en Sistemas;5to año o más;Si;1;5;3;1;Si;Si;Media;Nivel Bajo;"JavaScript;PHP;Python;";Nulo;Bajo;Bajo;Medio;Medio;3;Si;No;;Media;Si;;Si;Si;"Jefe de Departamento;Público en general;Científicos;Docentes;Estudiantes;";Si;2;2;No se;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
3;4/1/23 9:30:29;4/1/23 9:33:58;anonymous;;Antes de la Charla;22-27;Zona Urbana;Femenino;Si;Ingeniería en Sistemas;5to año o más;Si;2;3;1;3;Si;Si;Alta;Nivel Medio;"Python;JavaScript;PHP;C++;";Medio;Medio;Alto;Medio;Medio;4;No;Si;"Tecnológicas;Literarias;";Media;Si;;Si;Si;"Científicos;Público en general;Jefe de Departamento;Docentes;Estudiantes;";No;;3;Si;Si;Si;Si;Si;Si se incentiva;;;;;;;;;;;;;;;;
4;4/1/23 9:30:55;4/1/23 9:34:09;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;No;Ingeniería en Sistemas;5to año o más;Si;5;5;5;5;No;Si;Alta;Nivel Bajo;"JavaScript;PHP;C++;";Alto;Medio;Medio;Medio;Alto;3;Si;Si;"Matemáticas;Fisicas;Tecnológicas;Literarias;";Baja;Si;;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";No;;3;Si;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
5;4/1/23 9:29:58;4/1/23 9:34:13;anonymous;;Antes de la Charla;17-21;Zona Urbana;Masculino;Si;Ingeniería en Sistemas;4to año;Si;3;3;1;1;Si;Si;Alta;Nivel Medio;"JavaScript;";Bajo;Bajo;Medio;Medio;Medio;4;Si;No;;No existe;Si;;No;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";Si;1;2;No;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
6;4/1/23 9:31:19;4/1/23 9:34:26;anonymous;;Antes de la Charla;17-21;Zona Urbana;Masculino;No;Ingeniería en Sistemas;5to año o más;Si;3;3;2;2;No;Si;Baja;Nivel Medio;"Python;JavaScript;C++;PHP;";Nulo;Bajo;Alto;Bajo;Bajo;3;Si;Si;"Fisicas;Tecnológicas;";Baja;Si;;Si;Si;"Científicos;Docentes;Público en general;Jefe de Departamento;Estudiantes;";Si;3;1;No;Si;Si;Si;No;No se incentiva;;;;;;;;;;;;;;;;
7;4/1/23 9:30:03;4/1/23 9:34:29;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;No;Ingeniería en Sistemas;4to año;Si;2;3;2;1;No;Si;Media;Nivel Medio;"Python;JavaScript;";Nulo;Bajo;Medio;Bajo;Bajo;4;No;Si;"Tecnológicas;";Media;Si;;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";No;;2;No se;Si;No se;No se;Si;Si se incentiva;;;;;;;;;;;;;;;;
8;4/1/23 9:30:59;4/1/23 9:34:51;anonymous;;Antes de la Charla;28-32;Zona Urbana;Masculino;Si;Ingeniería en Sistemas;5to año o más;Si;4;5;1;4;Si;No;Media;Nivel Medio;"React;";Medio;Medio;Medio;Medio;Medio;5;No;No;;Media;Si;;Si;Si;"Jefe de Departamento;Científicos;Público en general;Docentes;Estudiantes;";No;;2;No;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
9;4/1/23 9:30:56;4/1/23 9:34:52;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;No;Ingeniería en Sistemas;4to año;Si;2;3;3;1;Si;Si;Alta;Nivel Medio;"Python;C++;";Nulo;Alto;Alto;Medio;Alto;5;Si;No;;Media;Si;;Si;Si;"Científicos;Docentes;Estudiantes;Jefe de Departamento;Público en general;";Si;2;2;No;Si;Si;Si;Si;Si se incentiva;;;;;;;;;;;;;;;;
10;4/1/23 9:31:35;4/1/23 9:34:57;anonymous;;Antes de la Charla;22-27;Zona Rural;Masculino;No;Ingeniería en Sistemas;5to año o más;No;1;5;5;1;Si;Si;Media;Nivel Medio;"JavaScript;C++;";Nulo;Medio;Medio;Bajo;Alto;2;Si;No;;Baja;Si;;Si;No;"Jefe de Departamento;Científicos;Docentes;Estudiantes;Público en general;";No;;1;No se;No se;Si;No se;No;No se incentiva;;;;;;;;;;;;;;;;
11;4/1/23 9:30:47;4/1/23 9:35:19;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;Si;Ingeniería en Sistemas;5to año o más;Si;3;5;2;3;Si;Si;Alta;Nivel Medio;"JavaScript;PHP;";Nulo;Medio;Alto;Medio;Medio;3;Si;No;;Media;No;Si;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";No;;1;Si;Si;No se;Si;Si;Si se incentiva;;;;;;;;;;;;;;;;
12;4/1/23 9:31:29;4/1/23 9:36:32;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;No;Ingeniería en Sistemas;5to año o más;Si;3;3;2;1;Si;Si;Media;Nivel Medio;"Python;JavaScript;C++;";Bajo;Medio;Medio;Medio;Medio;3;No;No;;Baja;Si;;Si;Si;"Jefe de Departamento;Docentes;Científicos;Estudiantes;Público en general;";Si;5;3;No se;Si;Si;Si;No;No se incentiva;;;;;;;;;;;;;;;;
13;4/1/23 9:30:33;4/1/23 9:37:33;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;Si;Ingeniería en Sistemas;5to año o más;Si;5;5;3;4;No;Si;Media;Nivel Alto;"Python;JavaScript;Go;PHP;C++;Julia, Typescript, Rust, java, Ren'Py;";Medio;Alto;Experto;Medio;Medio;5;Si;Si;"Tecnológicas;";Baja;No;Si;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";Si;4;4;Si;Si;Si;Si;Si;Si se incentiva;;;;;;;;;;;;;;;;
14;4/1/23 9:30:24;4/1/23 9:37:38;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;No;Ingeniería en Sistemas;5to año o más;No;4;4;2;2;Si;Si;Alta;Nivel Medio;"Python;JavaScript;C++;";Bajo;Alto;Alto;Bajo;Medio;4;Si;No;;Media;Si;;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";Si;3;2;Si;No se;Si;Si;No;No se incentiva;;;;;;;;;;;;;;;;
15;4/1/23 9:32:19;4/1/23 9:39:00;anonymous;;Antes de la Charla;17-21;Zona Urbana;Masculino;No;Ingeniería en Sistemas;5to año o más;Si;2;4;2;2;No;Si;Media;Nivel Medio;"JavaScript;C++;";Nulo;Medio;Medio;Medio;Alto;3;Si;Si;"Matemáticas;Fisicas;";Baja;Si;;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";Si;2;1;No se;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
16;4/1/23 9:31:22;4/1/23 9:41:11;anonymous;;Antes de la Charla;28-32;Zona Urbana;Masculino;Si;Ingeniería en Sistemas;4to año;Si;1;5;2;3;Si;Si;Alta;Nivel Medio;"JavaScript;C++;";Nulo;Bajo;Medio;Bajo;Medio;4;No;No;;Baja;Si;;Si;Si;"Científicos;Docentes;Jefe de Departamento;Estudiantes;Público en general;";Si;3;2;No;Si;Si;Si;No;No se incentiva;;;;;;;;;;;;;;;;
23;4/13/23 18:17:14;4/13/23 18:20:22;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;Si;Licenciatura en Informática Administrativa;4to año;Si;5;5;5;5;Si;Si;Alta;Nivel Medio;"JavaScript;C++;PHP;";Bajo;Bajo;Medio;Medio;Alto;5;Si;No;;Media;Si;;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";Si;5;3;Si;Si;Si;Si;Si;Si se incentiva;;;;;;;;;;;;;;;;
24;4/13/23 18:18:56;4/13/23 18:22:30;anonymous;;Antes de la Charla;22-27;Zona Rural;Masculino;No;Licenciatura en Informática Administrativa;3er año;Si;2;1;2;3;No;Si;Media;Nivel Alto;"PHP;JavaScript;C#;";Bajo;Medio;Medio;Medio;Bajo;4;Si;Si;"Tecnológicas;";Media;Si;;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";No;;1;No;Si;Si;Si;No;No se incentiva;;;;;;;;;;;;;;;;
25;4/13/23 18:17:38;4/13/23 18:22:37;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;No;Licenciatura en Informática Administrativa;4to año;Si;2;5;1;4;Si;Si;Media;Nivel Medio;"JavaScript;C# ;";Nulo;Medio;Alto;Medio;Nulo;4;Si;No;;Alta;;;Si;Si;"Público en general;Estudiantes;Docentes;Científicos;Jefe de Departamento;";Si;4;2;Si;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
26;4/13/23 18:17:25;4/13/23 18:22:52;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;No;Licenciatura en Informática Administrativa;2do año;Si;3;5;1;4;Si;Si;Media;Nivel Medio;"JavaScript;PHP;";Nulo;Bajo;Medio;Bajo;Nulo;3;Si;Si;"Tecnológicas;";Media;Si;;No;Si;"Jefe de Departamento;Docentes;Científicos;Estudiantes;Público en general;";Si;4;1;No;No se;No se;Si;No;Si se incentiva;;;;;;;;;;;;;;;;
27;4/13/23 18:18:59;4/13/23 18:22:52;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;No;Licenciatura en Informática Administrativa;4to año;Si;3;5;4;3;Si;Si;Media;Nivel Medio;"C#, java;";Nulo;Bajo;Medio;Bajo;Medio;3;No;No;;Baja;Si;;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";No;;1;No se;Si;Si;Si;No;No se incentiva;;;;;;;;;;;;;;;;
